id,total_processing_time
48151,8.303843589
48152,6.504680731
48153,7.779807604
48154,8.599188529
48155,13.30621451
48156,6.122024181
48157,5.179648209
48158,17.03809027
48159,13.75557858
48160,5.263915978
48161,0.134536847
48162,7.250094501
48163,4.022465027
48164,10.24282516
48165,5.722367325
48166,7.766018709
48167,7.901586268
48168,16.75673882
48169,0.559830233
48170,7.613693833
48171,2.40913935
48172,-3.593398178
48173,3.887538122
48174,10.11768166
48175,9.052829514
48176,6.9076881
48177,9.420506732
48178,5.229176803
48179,10.1274584
48180,-0.534260161
48181,-3.922046115
48182,3.477083091
48183,6.028064708
48184,10.12006632
48185,8.013089047
48186,3.298740289
48187,15.28759529
48188,5.889612102
48189,-0.482331776
48190,1.92439735
48191,5.085936106
48192,1.390573606
48193,4.847195312
48194,9.978449933
48195,4.806994335
48196,0.761805247
48197,0.695512242
48198,-10.59709394
48199,9.842813224
48200,-7.917000127
48201,-11.66006389
48202,-12.81053698
48203,-7.318954955
48204,-10.40626091
48205,-1.19555313
48206,-17.15164685
48207,-12.94070108
48208,-8.295035715
48209,-17.29050512
48210,-7.19751193
48211,-21.24268962
48212,-18.67314801
48213,-8.170609817
48214,5.862397664
48215,4.969913312
48216,0.726930218
48217,3.088231335
48218,4.899251078
48219,4.578095923
48220,8.867485685
48221,-3.414388856
48222,3.820859762
48223,8.004406403
48224,5.683454943
48225,4.828785226
48226,6.433030475
48227,6.973180583
48228,2.423219625
48229,8.939688514
48230,-0.894455255
48231,7.321754721
48232,16.91757966
48233,4.562216771
48234,6.595848883
48235,16.38239788
48236,7.247721438
48237,4.861232978
48238,9.176222637
48239,-0.105152293
48240,2.261756949
48241,6.708807807
48242,3.625765473
48243,4.64766337
48244,6.561999796
48245,16.0407019
48246,5.814982365
48247,6.763740571
48248,9.44524787
48249,-0.481680816
48250,1.865669025
48251,12.23613818
48252,9.398771615
48253,-1.248222894
48254,3.310890663
48255,9.472986862
48256,8.724676135
48257,5.77376034
48258,9.654332157
48259,15.13799459
48260,5.49916724
48261,6.414551103
48262,1.421713925
48263,11.70769889
48264,4.198627087
48265,-4.96433637
48266,0.644348358
48267,-1.866454276
48268,-3.105171168
48269,6.151956946
48270,-7.433690423
48271,-5.118684415
48272,7.72660784
48273,-9.711984301
48274,-7.215903837
48275,-16.05116428
48276,-7.330704924
48277,-5.291383502
48278,-11.85920946
48279,-6.608736346
48280,-6.191698323
48281,0.676564923
48282,1.059761823
48283,2.127391344
48284,2.852564036
48285,0.009611904
48286,12.43185748
48287,8.449067391
48288,7.154202475
48289,10.94700677
48290,4.52955731
48291,6.458351248
48292,10.33902223
48293,15.83214881
48294,0.559328722
48295,8.590362229
48296,-0.033431086
48297,2.229816925
48298,12.31658391
48299,-0.969806305
48300,15.92409059
48301,6.302647685
48302,7.514286572
48303,6.404979026
48304,8.218466384
48305,-0.136366542
48306,6.29841608
48307,8.603408751
48308,4.396083224
48309,5.959848294
48310,14.79060955
48311,12.13789707
48312,8.885720615
48313,5.949393753
48314,-1.170805554
48315,3.136221293
48316,3.113113076
48317,14.35624965
48318,5.015757486
48319,8.040849302
48320,1.960079453
48321,11.68929452
48322,4.984177707
48323,5.568402452
48324,11.26815644
48325,8.898350706
48326,-1.395445377
48327,2.875898954
48328,8.750303672
48329,8.179772163
48330,-4.356807598
48331,5.951035798
48332,2.345435535
48333,-4.272410683
48334,-2.545962992
48335,6.208791709
48336,3.743484321
48337,6.128520503
48338,0.682669461
48339,-6.268548526
48340,-14.83296269
48341,-11.55388913
48342,-5.874455577
48343,-7.993870169
48344,-16.58137245
48345,-10.6314539
48346,-1.198704103
48347,9.940386733
48348,14.62245546
48349,-0.073238819
48350,5.059800992
48351,15.56454723
48352,6.619644671
48353,9.918425361
48354,5.995276678
48355,8.086191296
48356,9.978820348
48357,31.02852728
48358,5.570746967
48359,8.596095626
48360,14.97171515
48361,-0.100793081
48362,8.197548961
48363,-9.651607024
48364,-3.334873764
48365,15.95802414
48366,46.55250562
48367,4.670140284
48368,6.353758366
48369,8.299164711
48370,4.004486742
48371,10.05719333
48372,8.756814511
48373,42.09937136
48374,5.126517404
48375,44.03026249
48376,48.70900964
48377,4.140300817
48378,13.17372232
48379,7.81304011
48380,10.15140731
48381,17.76036881
48382,46.59683196
48383,5.150033299
48384,6.804321159
48385,55.51741799
48386,7.659272789
48387,9.927207223
48388,4.818954659
48389,16.31900514
48390,-3.412031215
48391,-1.172590906
48392,1.652227241
48393,-5.125165015
48394,-3.101391975
48395,82.58153559
48396,-0.181501169
48397,6.381147368
48398,-8.875729718
48399,-2.252094522
48400,25.68091578
48401,90.3291652
48402,-14.62811215
48403,-7.216766044
48404,105.001363
48405,11.57591153
48406,7.083706382
48407,10.99542639
48408,16.50996072
48409,1.246376769
48410,6.201098705
48411,2.959298597
48412,5.908139657
48413,3.987705655
48414,7.595037145
48415,11.36994647
48416,7.405876607
48417,13.42761209
48418,6.241475444
48419,0.611477168
48420,9.956229781
48421,-0.217994376
48422,4.072578025
48423,16.40624663
48424,6.736121723
48425,7.452174894
48426,7.514019477
48427,13.28611642
48428,0.542459428
48429,2.813881565
48430,12.81570885
48431,4.135859672
48432,4.199126911
48433,4.953534852
48434,6.775238989
48435,7.023268449
48436,4.330673218
48437,6.251858119
48438,10.05115537
48439,15.45304713
48440,6.748897441
48441,12.49091186
48442,4.393751685
48443,9.829519527
48444,15.08902359
48445,5.732905964
48446,10.81340984
48447,2.32031197
48448,10.80367516
48449,-0.484530744
48450,4.462035353
48451,7.25003781
48452,0.756401053
48453,5.154266452
48454,1.568758836
48455,2.393244321
48456,2.356234013
48457,9.606569921
48458,1.627194342
48459,-14.64890136
48460,-8.410263013
48461,-3.498570719
48462,3.137087576
48463,-9.001711222
48464,7.409952964
48465,5.858964503
48466,8.474774568
48467,6.786043138
48468,10.57627267
48469,15.96996948
48470,9.168876714
48471,1.123531145
48472,3.333415397
48473,0.556357739
48474,2.800373
48475,12.71206808
48476,4.042633337
48477,9.980987813
48478,4.126196022
48479,8.610239088
48480,7.333774395
48481,11.01137505
48482,8.487276121
48483,6.733275061
48484,10.52004103
48485,13.14899607
48486,9.700121855
48487,4.175039455
48488,7.154891981
48489,7.290502835
48490,8.502678584
48491,4.683528323
48492,2.740772505
48493,-2.687874963
48494,4.036663488
48495,4.29344224
48496,10.30761775
48497,7.035219728
48498,8.459968166
48499,4.269805481
48500,9.919591232
48501,7.275904775
48502,9.267601462
48503,3.062665097
48504,6.38425532
48505,-0.332586242
48506,3.963563036
48507,9.276129279
48508,9.744792466
48509,14.97255482
48510,14.75978185
48511,2.781177617
48512,0.071483997
48513,10.16667761
48514,-2.887722385
48515,-0.480878301
48516,9.539456466
48517,-3.123219944
48518,-1.333385878
48519,4.010507336
48520,-1.244309304
48521,7.938631768
48522,-2.905618659
48523,6.596398824
48524,8.081215577
48525,8.288747232
48526,-14.48342072
48527,-12.59988333
48528,-4.09700603
48529,-3.105919148
48530,-3.387903833
48531,-5.915624293
48532,0.819209057
48533,-5.811288129
48534,-16.23709851
48535,-4.250778368
48536,2.109764584
48537,10.96950994
48538,6.712026104
48539,10.47088086
48540,15.80989144
48541,7.356989904
48542,12.52678443
48543,3.926095399
48544,5.402552269
48545,7.349576646
48546,6.590676456
48547,9.16326512
48548,6.794574991
48549,3.931985447
48550,9.803274228
48551,6.998124974
48552,7.279439005
48553,8.5003264
48554,4.574726239
48555,15.47082924
48556,1.0032783
48557,3.179961282
48558,7.217935248
48559,9.448724658
48560,8.362846924
48561,4.187507826
48562,7.017708847
48563,12.20154688
48564,6.256266723
48565,9.642504447
48566,4.688261001
48567,14.54823321
48568,9.136278429
48569,12.20823896
48570,6.241449025
48571,-0.46441347
48572,3.691294345
48573,9.450184186
48574,4.812436382
48575,7.147371633
48576,3.409277599
48577,1.510001096
48578,-4.728919803
48579,-2.561026546
48580,7.406833011
48581,-9.434137213
48582,-4.611999864
48583,-8.695572034
48584,-8.732662094
48585,-12.02855364
48586,-3.041646865
48587,-4.747236468
48588,0.788952619
48589,8.047587776
48590,9.368777109
48591,9.542142395
48592,2.580470331
48593,-2.772825777
48594,3.367034492
48595,6.721257436
48596,10.96963963
48597,24.87349483
48598,6.569852412
48599,9.275832338
48600,12.78106927
48601,34.79205543
48602,8.933630138
48603,35.75833154
48604,3.40074044
48605,6.805473346
48606,9.57765969
48607,4.417446243
48608,9.228786228
48609,11.00317269
48610,10.66458676
48611,6.565864679
48612,36.87773669
48613,0.392720051
48614,37.85845639
48615,7.006739337
48616,14.32716517
48617,4.623038338
48618,10.76774491
48619,27.27231405
48620,5.890198346
48621,11.01817704
48622,0.798876037
48623,15.5943745
48624,0.2852821
48625,9.339179836
48626,15.79781746
48627,42.52089376
48628,-2.698422101
48629,16.3945439
48630,31.26289921
48631,3.634196896
48632,5.442511996
48633,9.777991038
48634,5.929228883
48635,17.54690246
48636,-2.773711942
48637,-0.454530647
48638,18.23670414
48639,-1.069904604
48640,6.635388933
48641,20.36522162
48642,-2.729310905
48643,-0.930186689
48644,22.53871633
48645,1.861852309
48646,-4.545982553
48647,76.81510679
48648,-6.561297749
48649,0.049443702
48650,6.526290171
48651,-14.10582378
48652,-2.221426354
48653,22.75062298
48654,-13.59866626
48655,-11.80351346
48656,-7.952647536
48657,25.42805297
48658,0.63850004
48659,97.91685157
48660,32.37578776
48661,34.72251048
48662,105.6343384
48663,7.163458009
48664,10.10917451
48665,15.21173369
48666,12.62547085
48667,10.61734855
48668,6.722247664
48669,-2.380779849
48670,4.813512074
48671,5.479726199
48672,4.846923814
48673,6.909693429
48674,10.72923035
48675,2.889612341
48676,3.970655715
48677,10.02385584
48678,7.963004821
48679,10.11126644
48680,3.450988855
48681,7.079831847
48682,10.99506525
48683,0.869768629
48684,12.22307564
48685,-2.191376867
48686,10.24662641
48687,6.807504135
48688,15.05953158
48689,8.066273894
48690,10.41837519
48691,1.47018661
48692,7.263025086
48693,12.61715388
48694,3.044806321
48695,6.831665144
48696,7.2084973
48697,6.139999096
48698,10.61121563
48699,12.54023893
48700,7.617951371
48701,0.968513297
48702,6.801114112
48703,-1.853603
48704,4.32866516
48705,11.42438892
48706,-0.653545495
48707,7.388148921
48708,-2.015612793
48709,-0.241305393
48710,8.597814075
48711,-2.038438096
48712,1.758900902
48713,7.160039986
48714,12.23849445
48715,-10.71648031
48716,-8.432987946
48717,-8.0574965
48718,-4.622329344
48719,-0.793181575
48720,6.464938115
48721,0.401290183
48722,-0.606716343
48723,6.777371432
48724,10.29978513
48725,9.546199464
48726,10.04240729
48727,0.771700899
48728,11.96044171
48729,6.743367162
48730,-2.326886778
48731,3.840633267
48732,6.976531081
48733,9.444413379
48734,9.153276224
48735,15.08875746
48736,8.980100783
48737,9.8421639
48738,8.059629612
48739,3.429084621
48740,10.36272347
48741,2.944134433
48742,12.04256887
48743,7.023666769
48744,-2.117616489
48745,0.093725561
48746,4.016624609
48747,5.40924273
48748,9.464811053
48749,5.124511585
48750,4.624431507
48751,9.672002697
48752,1.524248664
48753,3.524964487
48754,7.198322862
48755,12.46582259
48756,1.035472995
48757,6.770530917
48758,-1.85061163
48759,10.10634997
48760,9.221299521
48761,6.104004327
48762,14.28005135
48763,8.282192872
48764,11.24535362
48765,1.111609112
48766,0.536303891
48767,9.761556046
48768,6.45932005
48769,1.29133136
48770,4.629525491
48771,0.521606551
48772,3.978563977
48773,6.614969661
48774,10.56613098
48775,10.75204294
48776,7.493314703
48777,-9.823451812
48778,-5.428219069
48779,-0.967923166
48780,-0.963993672
48781,-4.607356702
48782,5.504195306
48783,-10.17238215
48784,6.725761047
48785,14.59926802
48786,9.488501898
48787,10.39075402
48788,0.79154363
48789,6.343268181
48790,10.33724964
48791,3.669458833
48792,9.0262687
48793,5.155080597
48794,4.597861474
48795,3.272576205
48796,7.471888766
48797,10.56398188
48798,2.797297487
48799,6.349741981
48800,7.245100069
48801,-2.12081508
48802,9.061957493
48803,6.619147681
48804,3.382177838
48805,6.870386538
48806,11.95048551
48807,0.98608342
48808,2.919110643
48809,6.431748709
48810,11.54762838
48811,5.006249733
48812,8.55292481
48813,1.679142128
48814,11.70662611
48815,11.39046539
48816,-1.569708717
48817,4.182733371
48818,10.79530772
48819,9.289383639
48820,13.87892407
48821,4.466981491
